      1      1   1076    8.0000       71  61  10  61   4  57      0.0000
  2212    0.000    0.000     -7.1889  0.940    -6.21     0.80    -0.20     0.20
  2212    0.000    0.000      7.1889  0.940     8.47    -2.56     0.20     0.20
  2212    0.000    0.000     -7.1889  0.940    -5.43    -1.25    -0.20     0.20
  2112    0.000    0.000     -7.1889  0.940    -5.74    -3.79    -0.20     0.20
  2112    0.000    0.000     -7.1889  0.940    -5.76     0.03    -0.20     0.20
  2212    0.000    0.000     -7.1889  0.940    -2.94     1.64    -0.20     0.20
  2212    0.000    0.000     -7.1889  0.940    -9.10    -0.35    -0.20     0.20
  2212    0.000    0.000     -7.1889  0.940    -5.74     3.37    -0.20     0.20
  2112    0.000    0.000      7.1889  0.940     5.96     1.26     0.20     0.20
  2112   -0.020    0.358      7.9432  0.940     5.74     0.86    29.55    29.80
  2112    0.000    0.000      7.1889  0.940     7.98     1.28     0.20     0.20
  2212    0.000    0.000     -7.1889  0.940    -8.24    -5.20    -0.20     0.20
  2212    0.000    0.000      7.1889  0.940     8.91    -0.26     0.20     0.20
  2212    0.000    0.000     -7.1889  0.940    -6.60    -2.20    -0.20     0.20
  2112    0.000    0.000     -7.1889  0.940    -2.17     1.59    -0.20     0.20
  2112    0.000    0.000     -7.1889  0.940    -3.18     5.71    -0.20     0.20
  2112    0.000    0.000     -7.1889  0.940    -1.33     5.76    -0.20     0.20
  2112    0.000    0.000      7.1889  0.940     2.88     3.37     0.20     0.20
  2212    0.000    0.000     -7.1889  0.940    -8.61     4.40    -0.20     0.20
  2112   -0.039    0.014     -6.8506  0.940    -4.17    -2.72   -25.58    25.80
  2112    0.000    0.000     -7.1889  0.940    -3.01     3.59    -0.20     0.20
  2212    0.000    0.000     -7.1889  0.940    -6.52    -4.20    -0.20     0.20
  2112    0.000    0.000     -7.1889  0.940    -5.33    -2.09    -0.20     0.20
  2112    0.000    0.000      7.1889  0.940     8.55     1.79     0.20     0.20
  2112    0.000    0.000      7.1889  0.940     6.98    -5.13     0.20     0.20
  2112    0.000    0.000     -7.1889  0.940    -5.60     3.88    -0.20     0.20
  2112    0.000    0.000     -7.1889  0.940    -4.12     0.02    -0.20     0.20
  2112    0.000    0.000      7.1889  0.940     5.01     4.21     0.20     0.20
  2112    0.000    0.000      7.1889  0.940     2.50     5.64     0.20     0.20
  2212    0.000    0.000      7.1889  0.940     6.34     4.96     0.20     0.20
