           1        1557
 event,miss,iscat,jscat=           1           0          29          19
     2    0.005    0.101      0.016  0.006    -3.04     2.82    -0.02     0.11
     2    0.104   -1.488     -1.169  0.006    -2.77     2.93    -0.04     0.09
     2    0.289   -0.063     -0.198  0.006    -3.04     2.86    -0.02     0.15
     2   -0.180   -1.323     -0.955  0.006    -2.77     2.89    -0.08     0.15
 event,miss,iscat,jscat=           1           0          85          35
    -3    0.393    0.088     -0.564  0.199    -0.94    -1.28    -0.10     0.14
     1    0.278    1.091     -0.081  0.010    -0.77    -1.38     0.03     0.11
    -3    0.020    0.939     -0.643  0.199    -0.93    -1.28    -0.12     0.16
     1    0.651    0.240     -0.002  0.010    -0.76    -1.34     0.02     0.16
 event,miss,iscat,jscat=           1           0          30          19
     1    0.041    0.145      0.092  0.010    -3.04     2.82    -0.02     0.11
     2   -0.180   -1.323     -0.955  0.006    -2.77     2.89    -0.08     0.15
     1    0.122    0.138      0.055  0.010    -3.03     2.87     0.01     0.16
     2   -0.261   -1.316     -0.918  0.006    -2.77     2.87    -0.09     0.16
 event,miss,iscat,jscat=           1           0         177          77
    -2    0.539    2.452      6.920  0.006    -2.14     2.93     0.16     0.17
     1    0.229   -0.928      0.778  0.010    -1.97     3.00     0.09     0.14
    -2    0.434    2.418      6.980  0.006    -2.14     2.94     0.17     0.18
     1    0.334   -0.894      0.718  0.010    -1.96     2.97     0.12     0.18
 event,miss,iscat,jscat=           1           0          86          51
     1    1.738   -0.032     -1.934  0.010    -0.94    -1.28    -0.10     0.14
     2    0.084    0.614     -0.023  0.006    -0.75    -1.36    -0.00     0.12
     1    1.944   -0.006     -1.629  0.010    -0.91    -1.28    -0.14     0.19
     2   -0.122    0.587     -0.328  0.006    -0.74    -1.29    -0.00     0.19
 event,miss,iscat,jscat=           1           0         143          31
     2   -0.109    0.026     -0.055  0.006    -2.91     3.08    -0.08     0.16
     1    1.574    0.047     -0.536  0.010    -3.04     2.82    -0.02     0.11
     2    0.301    0.373     -0.238  0.006    -2.94     3.08    -0.09     0.19
     1    1.164   -0.300     -0.353  0.010    -2.97     2.82    -0.05     0.19
 event,miss,iscat,jscat=           1           0         177          75
    -2    0.434    2.418      6.980  0.006    -2.14     2.94     0.17     0.18
     1    0.036   -0.707      0.435  0.010    -1.97     3.00     0.09     0.14
    -2    0.699    2.460      6.695  0.006    -2.14     2.94     0.18     0.19
